DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20
龙口营口,123060,2000,1230.6000000000004,0,100
新港贵港,913962,7640,2672.40350877193,40,302
新港南沙,10633245,143140,2169.607223015711,2256,2645
威海马尾,79973,1100,1666.109375,7,41
安吉上海,794697,26120,1133.6629814550643,605,96
青岛阳江,55648,580,3478.059375,13,3
四会防城,1210770,22720,1065.8193221830986,0,1136
漳州南昌,191107,6420,595.3500000000001,0,321
厦门营口,38244,16040,72.70750950570341,276,250
曹妃甸乐从,180285,1640,2253.5625,2,78
荆州营口,1347748,20840,1305.9574418604652,10,1022
海口泉州,57979,16420,78.24554655870446,80,661
上海烟台,1663308,92340,622.2626745230078,1944,729
阳江上海,26552,820,647.619512195122,0,41
岳阳上海,196770,3660,1124.4,8,167
安庆海口,40038,460,1819.9363636363635,1,21
营口荆州,921721,7660,2412.8846073298428,1,381
营口鸦岗,2120891,19780,2460.431380510441,127,735
重庆常州,1031205,11300,1868.125,13,539
芜湖顺德新港,23030,220,2093.7000000000003,0,11
营口黄埔旧港,1861073,26260,2025.1072361262245,394,525
秦皇岛宁德,31334,360,1958.38125,2,14
黄骅常州,2676272,32820,1630.8790676416818,0,1641
泰州丹东,7024,220,638.5909090909091,0,11
白坭秦皇岛,148941,6840,435.5013157894737,0,342
惠州上海,80178,1660,966.0,0,83
营口贵港,1681704,14200,2765.9607730263156,102,506
张家口泉州,811125,21660,748.9612188365651,0,1083
营口珠海（高栏）,788508,10200,1756.1437082405344,61,388
鸦岗营口,1121603,25160,1736.2286377708974,612,34
湛江南昌,1016094,16900,1202.4786390532547,0,845
铁山曹妃甸,53000,6300,168.25666666666663,0,315
日照桂平新龙,502965,5440,1849.1387867647056,0,272
荆州汕头,195352,1560,2504.519230769231,0,78
江门亚太太仓,-4343,4340,-35.89958677685951,96,25
太仓营口,19217,2180,226.08476470588238,24,61
四会营口,197955,7500,585.6670118343195,37,301
锦州汕头,722707,6700,2628.0278181818185,60,215
营口东江仓,2561722,25740,2992.6661109813085,431,425
洋浦港铁山,292538,12280,476.4469055374593,0,614
宁德嘉兴,483217,6520,1482.2618098159512,0,326
营口日照,747461,13840,1080.1465317919076,0,692
宁波高明,98643,4480,516.4570680628271,33,158
营口威海,738899,17040,867.2531690140845,0,852
盘锦上海,92009,1120,1643.0249999999999,0,56
武汉烟台,411557,5700,2858.0348125,141,3
泰州福清,162301,2940,1104.0928571428572,0,147
乐从营口,2118002,51760,1615.562356979405,1277,34
新港宁波,410314,7820,1674.754285714286,146,99
营口漳州,3501564,43180,2004.3297939324557,412,1335
莱州新会新港,117919,980,2406.5142857142855,0,49
锦州宁波,2705587,35680,1812.1818486269256,291,1202
上海黄石,6300,120,1050.0,0,6
梧州（李家庄）广利港,268614,4620,1162.8318181818179,0,231
宜昌营口,1761477,26240,1342.589862804878,0,1312
梧州（李家庄）寿光,357768,6160,1161.5863636363636,0,308
塘源广利港,5340,80,1335.0749999999998,0,4
唐山鱼珠,102199,1320,2919.9900000000002,31,4
贵港乍浦,67113,880,1766.1552631578945,6,32
日照湛江海安,7030,60,2343.6,0,3
珠海（高栏）钦州,57934,1700,681.5858823529412,0,85
连云港花都（炭步）,71930,880,1844.3653846153845,5,34
营口福清,8520607,104760,1764.8317357083681,410,4418
宁波新会新港,141720,2260,1647.9139534883725,27,59
黄骅三埠,2451579,38520,1272.8867601246106,0,1926
湛江岳阳,641422,12020,1067.2594841930115,0,601
湛江宁波,257319,19440,447.51215478260866,397,178
泸州黄骅,873390,6820,2561.260997067449,0,341
丹东福清,94654,1040,1820.2759615384618,0,52
钦州南京,118551,6120,387.42254901960786,0,306
重庆小铲滩,448935,5080,1774.4501976284587,1,252
宜宾锦州,545580,5520,1976.7391304347825,0,276
泸州三水,18585,120,3097.5,0,6
宜宾小铲滩,139387,900,3097.5,0,45
湛江温州,181540,6120,1163.7234807692305,150,6
湛江新港,-120344,26760,-99.70557290803646,131,1076
万州泉州,246172,1540,3197.0454545454545,0,77
厦门珠海洪湾,-95,140,-13.650000000000002,0,7
钦州宁波,1247244,151440,250.5010243020687,2593,2386
丹东双水小冈,864120,8560,2018.973364485981,0,428
南昌营口,457317,8640,1104.6304347826087,18,396
芜湖阳江,192411,1980,1943.5499999999993,0,99
