SVVD,BEFORE_DAYS,AMT,VOLUME
IC5-N8A-081 N,4,432.6,1
IC5-N8A-081 N,3,10995.6,16
IC5-N8A-081 N,2,13591.2,22
IC5-N8A-081 N,1,8652,20
IC5-N8A-081 N,0,1730.4,4
IC5-N8A-082 N,10,4353.3,3
IC5-N8A-082 N,1,17052,30
IC5-N8A-082 N,0,432.6,1
IC5-N8A-083 N,1,24866.1,41
IC5-N8A-083 N,0,12419.4,24
IC5-N8A-084 N,8,432.6,1
IC5-N8A-084 N,0,18908.4,39
IC5-R2K-138 N,7,865.2,2
IC5-R2K-138 N,5,4353.3,3
IC5-R2K-138 N,4,6237,5
IC5-R2K-138 N,0,5497.8,8
IC5-R2K-139 N,3,1883.7,2
IC5-R2K-139 N,2,1297.8,3
IC5-R2K-139 N,1,25452,40
IC5-R2K-139 N,0,5191.2,12
IC5-R2K-140 N,6,865.2,2
IC5-R2K-140 N,5,1451.1,1
IC5-R2K-140 N,2,11734.8,13
IC5-R2K-140 N,0,1451.1,1
IC5-R8J-140 N,6,2902.2,2
IC5-R8J-140 N,4,2902.2,2
IC5-R8J-140 N,3,1883.7,2
IC5-R8J-140 N,2,865.2,2
IC5-R8J-140 N,1,14149.8,28
IC5-R8J-140 N,0,2316.3,3
IC5-R8J-141 N,11,432.6,1
IC5-R8J-141 N,1,11428.2,17
IC5-R8J-141 N,0,8372.7,17
IC5-R8J-142 N,3,865.2,2
IC5-R8J-142 N,1,3767.4,4
IC5-R8J-142 N,0,19341,40
IC5-R9J-140 N,3,2163,5
IC5-R9J-140 N,2,13437.9,24
IC5-R9J-140 N,1,11833.5,25
IC5-R9J-140 N,0,4326,10
IC5-R9J-141 N,8,865.2,2
IC5-R9J-141 N,6,5804.4,4
IC5-R9J-141 N,5,4353.3,3
IC5-R9J-141 N,1,5804.4,4
IC5-R9J-141 N,0,1451.1,1
IC5-R9J-142 N,0,19674.9,29
IC5-R9J-143 N,2,10130.4,14
IC5-R9J-143 N,1,11833.5,25
IC5-R9J-143 N,0,10382.4,24
IC5-TNB-225 N,6,432.6,1
IC5-TNB-225 N,0,1730.4,4
IC5-TNB-226 N,2,1730.4,4
IC5-TNB-226 N,1,16493.4,24
IC5-TNB-226 N,0,3767.4,4
IC5-TNB-227 N,3,9111.9,14
IC5-TNB-227 N,2,432.6,1
IC5-TNB-227 N,0,3460.8,8
