DIRECTION,SVVD,WBL_AUD_DT,AMT,VOLUME,CNT
钦州_宁波,IC19-CAC-187 N,2019-09-27,511.35,4,4
钦州_宁波,IC19-CAC-187 N,2019-09-28,511.35,1,1
钦州_宁波,IC19-CAC-187 N,2019-09-29,1761.9,1,1
钦州_宁波,IC19-CAC-187 N,2019-09-30,7.3499999999999845,198,198
钦州_宁波,IC19-CAC-187 N,2019-10-02,66.24130434782602,23,23
钦州_宁波,IC19-CAC-187 N,2019-10-04,458.84999999999997,6,6
钦州_宁波,IC19-CAC-187 N,2019-10-05,458.85,2,2
钦州_宁波,IC19-CAC-187 N,2019-10-06,458.84999999999997,6,6
钦州_宁波,IC19-CAC-187 N,2019-10-07,458.8500000000001,3,3
钦州_宁波,IC19-CAC-187 N,2019-10-08,1788.15,2,2
钦州_宁波,IC19-CAE-199 N,2019-09-18,-108.15000000000057,295,295
钦州_宁波,IC19-CAE-199 N,2019-09-19,668.85,9,9
钦州_宁波,IC19-CAE-199 N,2019-09-20,616.35,2,2
钦州_宁波,IC19-CAE-199 N,2019-09-22,511.35,5,5
钦州_宁波,IC19-CAE-199 N,2019-09-23,458.8500000000001,3,3
钦州_宁波,IC19-CAE-199 N,2019-09-25,458.85,1,1
钦州_宁波,IC19-CAE-200 N,2019-10-13,710.8499999999999,30,30
钦州_宁波,IC19-CAE-200 N,2019-10-16,500.84999999999997,6,6
钦州_宁波,IC19-CAE-200 N,2019-10-18,448.35,2,2
钦州_宁波,IC19-CAE-200 N,2019-10-19,448.35,1,1
钦州_宁波,IC19-CAE-200 N,2019-10-22,12.4090909090909,44,44
钦州_宁波,IC19-CAJ-159 N,2019-09-18,-108.14999999999978,118,118
钦州_宁波,IC19-CAJ-159 N,2019-09-23,458.85,2,2
钦州_宁波,IC19-CAJ-159 N,2019-09-24,511.3500000000002,19,19
钦州_宁波,IC19-CAJ-159 N,2019-09-25,458.8500000000001,3,3
钦州_宁波,IC19-CAJ-159 N,2019-09-26,511.35,11,11
钦州_宁波,IC19-CAJ-159 N,2019-09-28,511.3500000000001,12,12
钦州_宁波,IC19-CAJ-159 N,2019-09-29,476.34999999999997,6,6
钦州_宁波,IC19-CAJ-159 N,2019-09-30,542.85,2,2
钦州_宁波,IC19-CAJ-160 N,2019-10-16,500.85,1,1
钦州_宁波,IC19-CAJ-160 N,2019-10-22,-189.7899810964113,529,529
钦州_宁波,IC19-CAJ-160 N,2019-10-23,455.7,4,4
钦州_宁波,IC19-CAJ-160 N,2019-10-25,214.61999999999998,5,5
钦州_宁波,IC19-CAL-191 N,2019-09-14,721.35,2,2
钦州_宁波,IC19-CAL-191 N,2019-09-15,721.3500000000001,7,7
钦州_宁波,IC19-CAL-191 N,2019-09-16,721.35,2,2
钦州_宁波,IC19-CAL-191 N,2019-09-18,-94.33666666666679,225,225
钦州_宁波,IC19-CAL-191 N,2019-09-19,668.85,7,7
钦州_宁波,IC19-CAL-191 N,2019-09-20,616.35,3,3
钦州_宁波,IC19-CAL-192 N,2019-10-08,480.90000000000003,6,6
钦州_宁波,IC19-CAL-192 N,2019-10-09,511.34999999999997,7,7
钦州_宁波,IC19-CAL-192 N,2019-10-10,458.84999999999997,8,8
钦州_宁波,IC19-CAL-192 N,2019-10-16,500.84999999999997,8,8
钦州_宁波,IC19-CAL-192 N,2019-10-17,458.85000000000025,33,33
钦州_宁波,IC39-TDB-042 N,2019-10-12,710.85,2,2
钦州_宁波,IC39-TDB-042 N,2019-10-13,2033.85,1,1
钦州_宁波,IC39-TDB-042 N,2019-10-16,500.85,2,2
