,before_days,average_count,num,SVVD,FLOW
0,0.0,12.0,large,IC10-QNV-151 S,新港_南沙
1,1.0,6.0,large,IC10-QNV-151 S,新港_南沙
2,2.0,19.0,large,IC10-QNV-151 S,新港_南沙
3,3.0,3.0,large,IC10-QNV-151 S,新港_南沙
4,4.0,39.0,large,IC10-QNV-151 S,新港_南沙
5,5.0,6.0,large,IC10-QNV-151 S,新港_南沙
6,6.0,2.0,large,IC10-QNV-151 S,新港_南沙
7,7.0,5.0,large,IC10-QNV-151 S,新港_南沙
8,9.0,1.0,large,IC10-QNV-151 S,新港_南沙
9,14.0,8.0,large,IC10-QNV-151 S,新港_南沙
10,15.0,31.0,large,IC10-QNV-151 S,新港_南沙
0,0.0,14.0,large,IC10-R27-061 S,新港_南沙
1,1.0,37.0,large,IC10-R27-061 S,新港_南沙
2,2.0,55.0,large,IC10-R27-061 S,新港_南沙
3,3.0,27.0,large,IC10-R27-061 S,新港_南沙
4,4.0,42.0,large,IC10-R27-061 S,新港_南沙
5,5.0,6.0,large,IC10-R27-061 S,新港_南沙
6,6.0,2.0,large,IC10-R27-061 S,新港_南沙
7,7.0,5.0,large,IC10-R27-061 S,新港_南沙
8,8.0,8.0,large,IC10-R27-061 S,新港_南沙
9,9.0,29.0,large,IC10-R27-061 S,新港_南沙
10,14.0,8.0,large,IC10-R27-061 S,新港_南沙
11,15.0,31.0,large,IC10-R27-061 S,新港_南沙
0,0.0,24.0,large,IC10-R3N-080 S,新港_南沙
1,1.0,76.0,large,IC10-R3N-080 S,新港_南沙
2,2.0,77.0,large,IC10-R3N-080 S,新港_南沙
3,3.0,47.0,large,IC10-R3N-080 S,新港_南沙
4,4.0,44.0,large,IC10-R3N-080 S,新港_南沙
5,5.0,10.0,large,IC10-R3N-080 S,新港_南沙
6,6.0,2.0,large,IC10-R3N-080 S,新港_南沙
7,7.0,5.0,large,IC10-R3N-080 S,新港_南沙
8,8.0,8.0,large,IC10-R3N-080 S,新港_南沙
9,9.0,29.0,large,IC10-R3N-080 S,新港_南沙
10,10.0,2.0,large,IC10-R3N-080 S,新港_南沙
11,11.0,43.0,large,IC10-R3N-080 S,新港_南沙
12,14.0,8.0,large,IC10-R3N-080 S,新港_南沙
13,15.0,31.0,large,IC10-R3N-080 S,新港_南沙
0,0.0,39.0,large,IC10-QB3-055 S,新港_南沙
1,1.0,118.0,large,IC10-QB3-055 S,新港_南沙
2,2.0,89.0,large,IC10-QB3-055 S,新港_南沙
3,3.0,56.0,large,IC10-QB3-055 S,新港_南沙
4,4.0,44.0,large,IC10-QB3-055 S,新港_南沙
5,5.0,10.0,large,IC10-QB3-055 S,新港_南沙
6,6.0,2.0,large,IC10-QB3-055 S,新港_南沙
7,7.0,23.0,large,IC10-QB3-055 S,新港_南沙
8,8.0,14.0,large,IC10-QB3-055 S,新港_南沙
9,9.0,32.0,large,IC10-QB3-055 S,新港_南沙
10,10.0,11.0,large,IC10-QB3-055 S,新港_南沙
11,11.0,43.0,large,IC10-QB3-055 S,新港_南沙
12,14.0,8.0,large,IC10-QB3-055 S,新港_南沙
13,15.0,31.0,large,IC10-QB3-055 S,新港_南沙
14,17.0,6.0,large,IC10-QB3-055 S,新港_南沙
15,18.0,17.0,large,IC10-QB3-055 S,新港_南沙
0,0.0,64.0,large,IC10-Q40-105 S,新港_南沙
1,1.0,163.0,large,IC10-Q40-105 S,新港_南沙
2,2.0,124.0,large,IC10-Q40-105 S,新港_南沙
3,3.0,59.0,large,IC10-Q40-105 S,新港_南沙
4,4.0,47.0,large,IC10-Q40-105 S,新港_南沙
5,5.0,10.0,large,IC10-Q40-105 S,新港_南沙
6,6.0,8.0,large,IC10-Q40-105 S,新港_南沙
7,7.0,23.0,large,IC10-Q40-105 S,新港_南沙
8,8.0,14.0,large,IC10-Q40-105 S,新港_南沙
9,9.0,32.0,large,IC10-Q40-105 S,新港_南沙
10,10.0,19.0,large,IC10-Q40-105 S,新港_南沙
11,11.0,43.0,large,IC10-Q40-105 S,新港_南沙
12,12.0,1.0,large,IC10-Q40-105 S,新港_南沙
13,13.0,4.0,large,IC10-Q40-105 S,新港_南沙
14,14.0,19.0,large,IC10-Q40-105 S,新港_南沙
15,15.0,31.0,large,IC10-Q40-105 S,新港_南沙
16,17.0,6.0,large,IC10-Q40-105 S,新港_南沙
17,18.0,17.0,large,IC10-Q40-105 S,新港_南沙
0,0.0,68.0,large,IC10-R3N-081 S,新港_南沙
1,1.0,169.0,large,IC10-R3N-081 S,新港_南沙
2,2.0,151.0,large,IC10-R3N-081 S,新港_南沙
3,3.0,82.0,large,IC10-R3N-081 S,新港_南沙
4,4.0,61.0,large,IC10-R3N-081 S,新港_南沙
5,5.0,24.0,large,IC10-R3N-081 S,新港_南沙
6,6.0,26.0,large,IC10-R3N-081 S,新港_南沙
7,7.0,26.0,large,IC10-R3N-081 S,新港_南沙
8,8.0,50.0,large,IC10-R3N-081 S,新港_南沙
9,9.0,32.0,large,IC10-R3N-081 S,新港_南沙
10,10.0,19.0,large,IC10-R3N-081 S,新港_南沙
11,11.0,43.0,large,IC10-R3N-081 S,新港_南沙
12,12.0,1.0,large,IC10-R3N-081 S,新港_南沙
13,13.0,19.0,large,IC10-R3N-081 S,新港_南沙
14,14.0,19.0,large,IC10-R3N-081 S,新港_南沙
15,15.0,31.0,large,IC10-R3N-081 S,新港_南沙
16,17.0,6.0,large,IC10-R3N-081 S,新港_南沙
17,18.0,17.0,large,IC10-R3N-081 S,新港_南沙
0,0.0,74.0,large,IC10-R27-062 S,新港_南沙
1,1.0,169.0,large,IC10-R27-062 S,新港_南沙
2,2.0,151.0,large,IC10-R27-062 S,新港_南沙
3,3.0,196.0,large,IC10-R27-062 S,新港_南沙
4,4.0,82.0,large,IC10-R27-062 S,新港_南沙
5,5.0,58.0,large,IC10-R27-062 S,新港_南沙
6,6.0,35.0,large,IC10-R27-062 S,新港_南沙
7,7.0,26.0,large,IC10-R27-062 S,新港_南沙
8,8.0,50.0,large,IC10-R27-062 S,新港_南沙
9,9.0,32.0,large,IC10-R27-062 S,新港_南沙
10,10.0,19.0,large,IC10-R27-062 S,新港_南沙
11,11.0,43.0,large,IC10-R27-062 S,新港_南沙
12,12.0,1.0,large,IC10-R27-062 S,新港_南沙
13,13.0,19.0,large,IC10-R27-062 S,新港_南沙
14,14.0,19.0,large,IC10-R27-062 S,新港_南沙
15,15.0,31.0,large,IC10-R27-062 S,新港_南沙
16,17.0,6.0,large,IC10-R27-062 S,新港_南沙
17,18.0,17.0,large,IC10-R27-062 S,新港_南沙
0,0.0,103.0,large,IC10-QNV-152 S,新港_南沙
1,1.0,233.0,large,IC10-QNV-152 S,新港_南沙
2,2.0,198.0,large,IC10-QNV-152 S,新港_南沙
3,3.0,196.0,large,IC10-QNV-152 S,新港_南沙
4,4.0,84.0,large,IC10-QNV-152 S,新港_南沙
5,5.0,58.0,large,IC10-QNV-152 S,新港_南沙
6,6.0,35.0,large,IC10-QNV-152 S,新港_南沙
7,7.0,26.0,large,IC10-QNV-152 S,新港_南沙
8,8.0,85.0,large,IC10-QNV-152 S,新港_南沙
9,9.0,32.0,large,IC10-QNV-152 S,新港_南沙
10,10.0,19.0,large,IC10-QNV-152 S,新港_南沙
11,11.0,43.0,large,IC10-QNV-152 S,新港_南沙
12,12.0,1.0,large,IC10-QNV-152 S,新港_南沙
13,13.0,19.0,large,IC10-QNV-152 S,新港_南沙
14,14.0,19.0,large,IC10-QNV-152 S,新港_南沙
15,15.0,31.0,large,IC10-QNV-152 S,新港_南沙
16,17.0,6.0,large,IC10-QNV-152 S,新港_南沙
17,18.0,17.0,large,IC10-QNV-152 S,新港_南沙
0,0.0,104.0,large,IC10-R27-063 S,新港_南沙
1,1.0,234.0,large,IC10-R27-063 S,新港_南沙
2,2.0,199.0,large,IC10-R27-063 S,新港_南沙
3,3.0,231.0,large,IC10-R27-063 S,新港_南沙
4,4.0,112.0,large,IC10-R27-063 S,新港_南沙
5,5.0,171.0,large,IC10-R27-063 S,新港_南沙
6,6.0,51.0,large,IC10-R27-063 S,新港_南沙
7,7.0,27.0,large,IC10-R27-063 S,新港_南沙
8,8.0,85.0,large,IC10-R27-063 S,新港_南沙
9,9.0,32.0,large,IC10-R27-063 S,新港_南沙
10,10.0,19.0,large,IC10-R27-063 S,新港_南沙
