,before_days,average_count,SVVD,FLOW
0,0.0,65.81818181818181,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
1,11.0,159.54545454545456,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
2,22.0,147.0,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
3,33.0,127.72727272727272,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
4,44.0,72.81818181818183,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
5,55.0,63.54545454545455,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
6,66.0,24.454545454545453,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
7,77.0,19.999999999999996,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
8,89.0,44.09090909090909,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
9,104.0,29.27272727272728,IC10-QNV-151 SIC10-R27-061 SIC10-R3N-080 SIC10-QB3-055 SIC10-Q40-105 SIC10-R3N-081 SIC10-R27-062 SIC10-QNV-152 SIC10-R27-063 SIC10-QB3-056 SIC10-Q40-106 S,新港_南沙
