开始天数,before_days,销量,SVVD,FLOW,,利用率,sum
0,0,10.18181818,IC10-Q40-106 S,新港_南沙,,,
1,1,25.27272727,IC10-Q40-106 S,新港_南沙,,,
2,2,30.72727273,IC10-Q40-106 S,新港_南沙,,,
3,3,23.54545455,IC10-Q40-106 S,新港_南沙,,,
4,4,11.54545455,IC10-Q40-106 S,新港_南沙,,,
5,5,15.72727273,IC10-Q40-106 S,新港_南沙,,,
6,6,4.818181818,IC10-Q40-106 S,新港_南沙,,,
7,7,2.454545455,IC10-Q40-106 S,新港_南沙,,,
8,8,7.727272727,IC10-Q40-106 S,新港_南沙,,,
9,9,2.909090909,IC10-Q40-106 S,新港_南沙,,,
10,10,1.727272727,IC10-Q40-106 S,新港_南沙,,,
11,11,5.636363636,IC10-Q40-106 S,新港_南沙,,,
12,12,1.454545455,IC10-Q40-106 S,新港_南沙,,,
13,13,1.727272727,IC10-Q40-106 S,新港_南沙,,,
14,14,2.090909091,IC10-Q40-106 S,新港_南沙,,,
15,15,2.818181818,IC10-Q40-106 S,新港_南沙,,,
16,17,0.545454545,IC10-Q40-106 S,新港_南沙,,,
17,18,1.545454545,IC10-Q40-106 S,新港_南沙,,,
18,19,0.181818182,IC10-Q40-106 S,新港_南沙,,,
0,0,17.34482759,IC15-CAH-191 S,营口_南沙,,,
1,1,4.137931034,IC15-CAH-191 S,营口_南沙,,,
2,2,3.379310345,IC15-CAH-191 S,营口_南沙,,,
3,3,3.655172414,IC15-CAH-191 S,营口_南沙,,,
4,4,2.620689655,IC15-CAH-191 S,营口_南沙,,,
5,5,1.310344828,IC15-CAH-191 S,营口_南沙,,,
6,6,1.517241379,IC15-CAH-191 S,营口_南沙,,,
7,7,2.965517241,IC15-CAH-191 S,营口_南沙,,,
8,8,1.896551724,IC15-CAH-191 S,营口_南沙,,,
9,9,0.448275862,IC15-CAH-191 S,营口_南沙,,,
10,10,0.068965517,IC15-CAH-191 S,营口_南沙,,,
11,16,0.034482759,IC15-CAH-191 S,营口_南沙,,,
12,18,0.034482759,IC15-CAH-191 S,营口_南沙,,,
0,-7,0.090909091,IC8-TNH-352 S,营口_宁波,,,
1,-6,0.272727273,IC8-TNH-352 S,营口_宁波,,,
2,-5,3,IC8-TNH-352 S,营口_宁波,,,
3,-4,6.363636364,IC8-TNH-352 S,营口_宁波,,,
4,-3,5,IC8-TNH-352 S,营口_宁波,,,
5,-2,3.909090909,IC8-TNH-352 S,营口_宁波,,,
6,-1,2.636363636,IC8-TNH-352 S,营口_宁波,,,
7,0,27.72727273,IC8-TNH-352 S,营口_宁波,,,
8,1,6,IC8-TNH-352 S,营口_宁波,,,
9,2,26.54545455,IC8-TNH-352 S,营口_宁波,,,
10,3,36.54545455,IC8-TNH-352 S,营口_宁波,,,
11,4,40.09090909,IC8-TNH-352 S,营口_宁波,,,
12,5,20,IC8-TNH-352 S,营口_宁波,,,
13,6,36.63636364,IC8-TNH-352 S,营口_宁波,,,
14,7,85.36363636,IC8-TNH-352 S,营口_宁波,,,
15,8,24,IC8-TNH-352 S,营口_宁波,,,
16,9,27.45454545,IC8-TNH-352 S,营口_宁波,,,
17,10,10.36363636,IC8-TNH-352 S,营口_宁波,,,
18,11,11.09090909,IC8-TNH-352 S,营口_宁波,,,
19,12,2.909090909,IC8-TNH-352 S,营口_宁波,,,
20,13,7.363636364,IC8-TNH-352 S,营口_宁波,,,
21,15,8,IC8-TNH-352 S,营口_宁波,,,
22,17,7.272727273,IC8-TNH-352 S,营口_宁波,,,
23,20,8.090909091,IC8-TNH-352 S,营口_宁波,,,
2,12,14.75,IC19-CAJ-160 N,钦州_宁波,,7.07%,208.625
4,10,0.625,IC19-CAJ-160 N,钦州_宁波,,7.37%,
5,9,4,IC19-CAJ-160 N,钦州_宁波,,9.29%,
6,8,25.5,IC19-CAJ-160 N,钦州_宁波,,21.51%,
