,before_days,average_count,num,SVVD,FLOW
0,0.0,0.0,large,IC10-QNV-151 S,新港_南沙
1,1.0,0.0,large,IC10-QNV-151 S,新港_南沙
2,2.0,0.0,large,IC10-QNV-151 S,新港_南沙
3,3.0,0.0,large,IC10-QNV-151 S,新港_南沙
4,4.0,0.0,large,IC10-QNV-151 S,新港_南沙
5,5.0,0.0,large,IC10-QNV-151 S,新港_南沙
6,6.0,0.0,large,IC10-QNV-151 S,新港_南沙
7,7.0,0.0,large,IC10-QNV-151 S,新港_南沙
8,9.0,283.97727272727275,large,IC10-QNV-151 S,新港_南沙
9,14.0,264.8863636363636,large,IC10-QNV-151 S,新港_南沙
10,15.0,785.4954545454547,large,IC10-QNV-151 S,新港_南沙
0,0.0,0.0,large,IC10-R27-061 S,新港_南沙
1,1.0,0.0,large,IC10-R27-061 S,新港_南沙
2,2.0,0.0,large,IC10-R27-061 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-R27-061 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-R27-061 S,新港_南沙
5,5.0,0.0,large,IC10-R27-061 S,新港_南沙
6,6.0,0.0,large,IC10-R27-061 S,新港_南沙
7,7.0,0.0,large,IC10-R27-061 S,新港_南沙
8,8.0,173.53636363636363,large,IC10-R27-061 S,新港_南沙
9,9.0,740.67,large,IC10-R27-061 S,新港_南沙
10,14.0,264.8863636363636,large,IC10-R27-061 S,新港_南沙
11,15.0,785.4954545454547,large,IC10-R27-061 S,新港_南沙
0,0.0,0.0,large,IC10-R3N-080 S,新港_南沙
1,1.0,0.0,large,IC10-R3N-080 S,新港_南沙
2,2.0,0.0,large,IC10-R3N-080 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-R3N-080 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-R3N-080 S,新港_南沙
5,5.0,0.0,large,IC10-R3N-080 S,新港_南沙
6,6.0,0.0,large,IC10-R3N-080 S,新港_南沙
7,7.0,0.0,large,IC10-R3N-080 S,新港_南沙
8,8.0,173.53636363636363,large,IC10-R3N-080 S,新港_南沙
9,9.0,740.67,large,IC10-R3N-080 S,新港_南沙
10,10.0,0.0,large,IC10-R3N-080 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-R3N-080 S,新港_南沙
12,14.0,264.8863636363636,large,IC10-R3N-080 S,新港_南沙
13,15.0,785.4954545454547,large,IC10-R3N-080 S,新港_南沙
0,0.0,0.0,large,IC10-QB3-055 S,新港_南沙
1,1.0,0.0,large,IC10-QB3-055 S,新港_南沙
2,2.0,0.0,large,IC10-QB3-055 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-QB3-055 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-QB3-055 S,新港_南沙
5,5.0,0.0,large,IC10-QB3-055 S,新港_南沙
6,6.0,0.0,large,IC10-QB3-055 S,新港_南沙
7,7.0,506.93522727272733,large,IC10-QB3-055 S,新港_南沙
8,8.0,760.5818181818181,large,IC10-QB3-055 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-QB3-055 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-QB3-055 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-QB3-055 S,新港_南沙
12,14.0,264.8863636363636,large,IC10-QB3-055 S,新港_南沙
13,15.0,785.4954545454547,large,IC10-QB3-055 S,新港_南沙
14,17.0,196.9772727272728,large,IC10-QB3-055 S,新港_南沙
15,18.0,245.79545454545453,large,IC10-QB3-055 S,新港_南沙
0,0.0,0.0,large,IC10-Q40-105 S,新港_南沙
1,1.0,0.0,large,IC10-Q40-105 S,新港_南沙
2,2.0,0.0,large,IC10-Q40-105 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-Q40-105 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-Q40-105 S,新港_南沙
5,5.0,0.0,large,IC10-Q40-105 S,新港_南沙
6,6.0,0.0,large,IC10-Q40-105 S,新港_南沙
7,7.0,506.93522727272733,large,IC10-Q40-105 S,新港_南沙
8,8.0,760.5818181818181,large,IC10-Q40-105 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-Q40-105 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-Q40-105 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-Q40-105 S,新港_南沙
12,12.0,0.0,large,IC10-Q40-105 S,新港_南沙
13,13.0,192.62727272727273,large,IC10-Q40-105 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-Q40-105 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-Q40-105 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-Q40-105 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-Q40-105 S,新港_南沙
0,0.0,0.0,large,IC10-R3N-081 S,新港_南沙
1,1.0,0.0,large,IC10-R3N-081 S,新港_南沙
2,2.0,0.0,large,IC10-R3N-081 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-R3N-081 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-R3N-081 S,新港_南沙
5,5.0,0.0,large,IC10-R3N-081 S,新港_南沙
6,6.0,0.0,large,IC10-R3N-081 S,新港_南沙
7,7.0,506.93522727272733,large,IC10-R3N-081 S,新港_南沙
8,8.0,3248.7000000000003,large,IC10-R3N-081 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-R3N-081 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-R3N-081 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-R3N-081 S,新港_南沙
12,12.0,0.0,large,IC10-R3N-081 S,新港_南沙
13,13.0,486.15,large,IC10-R3N-081 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-R3N-081 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-R3N-081 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-R3N-081 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-R3N-081 S,新港_南沙
0,0.0,0.0,large,IC10-R27-062 S,新港_南沙
1,1.0,0.0,large,IC10-R27-062 S,新港_南沙
2,2.0,0.0,large,IC10-R27-062 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-R27-062 S,新港_南沙
4,4.0,192.62727272727273,large,IC10-R27-062 S,新港_南沙
5,5.0,1614.9954545454545,large,IC10-R27-062 S,新港_南沙
6,6.0,1090.9499999999998,large,IC10-R27-062 S,新港_南沙
7,7.0,506.93522727272733,large,IC10-R27-062 S,新港_南沙
8,8.0,3248.7000000000003,large,IC10-R27-062 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-R27-062 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-R27-062 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-R27-062 S,新港_南沙
12,12.0,0.0,large,IC10-R27-062 S,新港_南沙
13,13.0,486.15,large,IC10-R27-062 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-R27-062 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-R27-062 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-R27-062 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-R27-062 S,新港_南沙
0,0.0,0.0,large,IC10-QNV-152 S,新港_南沙
1,1.0,0.0,large,IC10-QNV-152 S,新港_南沙
2,2.0,567.2863636363636,large,IC10-QNV-152 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-QNV-152 S,新港_南沙
4,4.0,495.02727272727276,large,IC10-QNV-152 S,新港_南沙
5,5.0,1614.9954545454545,large,IC10-QNV-152 S,新港_南沙
6,6.0,1090.9499999999998,large,IC10-QNV-152 S,新港_南沙
7,7.0,506.93522727272733,large,IC10-QNV-152 S,新港_南沙
8,8.0,4920.777272727273,large,IC10-QNV-152 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-QNV-152 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-QNV-152 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-QNV-152 S,新港_南沙
12,12.0,0.0,large,IC10-QNV-152 S,新港_南沙
13,13.0,486.15,large,IC10-QNV-152 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-QNV-152 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-QNV-152 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-QNV-152 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-QNV-152 S,新港_南沙
0,0.0,0.0,large,IC10-R27-063 S,新港_南沙
1,1.0,0.0,large,IC10-R27-063 S,新港_南沙
2,2.0,567.2863636363636,large,IC10-R27-063 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-R27-063 S,新港_南沙
4,4.0,495.02727272727276,large,IC10-R27-063 S,新港_南沙
5,5.0,3832.6431818181813,large,IC10-R27-063 S,新港_南沙
6,6.0,1988.3181818181818,large,IC10-R27-063 S,新港_南沙
7,7.0,737.0761363636365,large,IC10-R27-063 S,新港_南沙
8,8.0,4920.777272727273,large,IC10-R27-063 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-R27-063 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-R27-063 S,新港_南沙
11,11.0,1160.8227272727272,large,IC10-R27-063 S,新港_南沙
12,12.0,0.0,large,IC10-R27-063 S,新港_南沙
13,13.0,486.15,large,IC10-R27-063 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-R27-063 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-R27-063 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-R27-063 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-R27-063 S,新港_南沙
18,19.0,225.27272727272728,large,IC10-R27-063 S,新港_南沙
0,0.0,0.0,large,IC10-QB3-056 S,新港_南沙
1,1.0,0.0,large,IC10-QB3-056 S,新港_南沙
2,2.0,567.2863636363636,large,IC10-QB3-056 S,新港_南沙
3,3.0,548.8636363636364,large,IC10-QB3-056 S,新港_南沙
4,4.0,495.02727272727276,large,IC10-QB3-056 S,新港_南沙
5,5.0,4034.1477272727275,large,IC10-QB3-056 S,新港_南沙
6,6.0,2483.3454545454547,large,IC10-QB3-056 S,新港_南沙
7,7.0,737.0761363636365,large,IC10-QB3-056 S,新港_南沙
8,8.0,4920.777272727273,large,IC10-QB3-056 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-QB3-056 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-QB3-056 S,新港_南沙
11,11.0,2039.3863636363637,large,IC10-QB3-056 S,新港_南沙
12,12.0,970.2954545454545,large,IC10-QB3-056 S,新港_南沙
13,13.0,486.15,large,IC10-QB3-056 S,新港_南沙
14,14.0,548.8636363636364,large,IC10-QB3-056 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-QB3-056 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-QB3-056 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-QB3-056 S,新港_南沙
18,19.0,225.27272727272728,large,IC10-QB3-056 S,新港_南沙
0,0.0,0.0,large,IC10-Q40-106 S,新港_南沙
1,1.0,0.0,large,IC10-Q40-106 S,新港_南沙
2,2.0,567.2863636363636,large,IC10-Q40-106 S,新港_南沙
3,3.0,1761.709090909091,large,IC10-Q40-106 S,新港_南沙
4,4.0,2546.5602272727274,large,IC10-Q40-106 S,新港_南沙
5,5.0,4034.1477272727275,large,IC10-Q40-106 S,新港_南沙
6,6.0,2483.3454545454547,large,IC10-Q40-106 S,新港_南沙
7,7.0,737.0761363636365,large,IC10-Q40-106 S,新港_南沙
8,8.0,4920.777272727273,large,IC10-Q40-106 S,新港_南沙
9,9.0,1194.7759090909092,large,IC10-Q40-106 S,新港_南沙
10,10.0,192.62727272727273,large,IC10-Q40-106 S,新港_南沙
11,11.0,2039.3863636363637,large,IC10-Q40-106 S,新港_南沙
12,12.0,970.2954545454545,large,IC10-Q40-106 S,新港_南沙
13,13.0,486.15,large,IC10-Q40-106 S,新港_南沙
14,14.0,835.0363636363637,large,IC10-Q40-106 S,新港_南沙
15,15.0,785.4954545454547,large,IC10-Q40-106 S,新港_南沙
16,17.0,196.9772727272728,large,IC10-Q40-106 S,新港_南沙
17,18.0,245.79545454545453,large,IC10-Q40-106 S,新港_南沙
18,19.0,225.27272727272728,large,IC10-Q40-106 S,新港_南沙
0,0.0,134.21896551724137,small,IC9-RIG-102 S,营口_南沙
1,1.0,133.6758620689655,small,IC9-RIG-102 S,营口_南沙
2,2.0,133.31379310344826,small,IC9-RIG-102 S,营口_南沙
0,0.0,134.21896551724137,small,IC9-RFF-391 S,营口_南沙
1,1.0,133.6758620689655,small,IC9-RFF-391 S,营口_南沙
2,2.0,133.31379310344826,small,IC9-RFF-391 S,营口_南沙
3,3.0,0.0,small,IC9-RFF-391 S,营口_南沙
4,5.0,75.92586206896551,small,IC9-RFF-391 S,营口_南沙
5,6.0,188.4206896551724,small,IC9-RFF-391 S,营口_南沙
0,0.0,134.21896551724137,small,IC9-RZD-216 S,营口_南沙
1,1.0,133.6758620689655,small,IC9-RZD-216 S,营口_南沙
2,2.0,357.57931034482755,small,IC9-RZD-216 S,营口_南沙
3,3.0,75.92586206896551,small,IC9-RZD-216 S,营口_南沙
4,4.0,171.0413793103448,small,IC9-RZD-216 S,营口_南沙
5,5.0,75.92586206896551,small,IC9-RZD-216 S,营口_南沙
6,6.0,319.0189655172413,small,IC9-RZD-216 S,营口_南沙
0,0.0,134.21896551724137,small,IC9-Q55-105 S,营口_南沙
1,1.0,133.6758620689655,small,IC9-Q55-105 S,营口_南沙
2,2.0,357.57931034482755,small,IC9-Q55-105 S,营口_南沙
3,3.0,206.07155172413792,small,IC9-Q55-105 S,营口_南沙
4,4.0,445.16379310344826,small,IC9-Q55-105 S,营口_南沙
