,before_days,average_count,num,SVVD,FLOW
0,-8.0,63.918749999999996,large,IC19-CAJ-160 N,钦州_宁波
1,-7.0,60.112500000000004,large,IC19-CAJ-160 N,钦州_宁波
2,0.0,610.8700023629488,large,IC19-CAJ-160 N,钦州_宁波
3,1.0,351.96875,large,IC19-CAJ-160 N,钦州_宁波
4,2.0,166.83916666666667,large,IC19-CAJ-160 N,钦州_宁波
5,3.0,121.275,large,IC19-CAJ-160 N,钦州_宁波
6,4.0,211.44375,large,IC19-CAJ-160 N,钦州_宁波
7,5.0,224.56875000000005,large,IC19-CAJ-160 N,钦州_宁波
8,6.0,245.97391304347826,large,IC19-CAJ-160 N,钦州_宁波
9,7.0,43.837499999999935,large,IC19-CAJ-160 N,钦州_宁波
10,8.0,0.9187499999999981,large,IC19-CAJ-160 N,钦州_宁波
11,9.0,220.2375,large,IC19-CAJ-160 N,钦州_宁波
12,10.0,63.91875,large,IC19-CAJ-160 N,钦州_宁波
13,11.0,63.91875,large,IC19-CAJ-160 N,钦州_宁波
14,12.0,-13.518749999999972,large,IC19-CAJ-160 N,钦州_宁波
