,before_days,average_count,num,SVVD,FLOW
0,0,574.1161363636364,large,IC19-CAJ-160 N,Чежн_ФўВЈ
1,1,263.1125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
2,2,223.80166666666668,large,IC19-CAJ-160 N,Чежн_ФўВЈ
3,3,407.8262523629486,large,IC19-CAJ-160 N,Чежн_ФўВЈ
4,4,356.34375,large,IC19-CAJ-160 N,Чежн_ФўВЈ
5,5,224.56875000000005,large,IC19-CAJ-160 N,Чежн_ФўВЈ
6,6,308.58016304347825,large,IC19-CAJ-160 N,Чежн_ФўВЈ
7,7,101.19374999999994,large,IC19-CAJ-160 N,Чежн_ФўВЈ
8,8,64.83749999999999,large,IC19-CAJ-160 N,Чежн_ФўВЈ
9,9,431.8125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
10,10,63.91875,large,IC19-CAJ-160 N,Чежн_ФўВЈ
11,11,63.91875,large,IC19-CAJ-160 N,Чежн_ФўВЈ
12,12,-13.518749999999972,large,IC19-CAJ-160 N,Чежн_ФўВЈ
