,before_days,average_count,num,SVVD,FLOW
0,-8.0,447.43125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
1,-7.0,360.675,large,IC19-CAJ-160 N,Чежн_ФўВЈ
2,0.0,-10666.425000000003,large,IC19-CAJ-160 N,Чежн_ФўВЈ
3,1.0,3842.8687499999987,large,IC19-CAJ-160 N,Чежн_ФўВЈ
4,2.0,-1369.9875000000004,large,IC19-CAJ-160 N,Чежн_ФўВЈ
5,3.0,434.30625,large,IC19-CAJ-160 N,Чежн_ФўВЈ
6,4.0,1227.5812500000002,large,IC19-CAJ-160 N,Чежн_ФўВЈ
7,5.0,957.3375000000001,large,IC19-CAJ-160 N,Чежн_ФўВЈ
8,6.0,2337.69375,large,IC19-CAJ-160 N,Чежн_ФўВЈ
9,7.0,-3873.318749999999,large,IC19-CAJ-160 N,Чежн_ФўВЈ
10,8.0,181.9125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
11,9.0,220.2375,large,IC19-CAJ-160 N,Чежн_ФўВЈ
12,10.0,63.91875,large,IC19-CAJ-160 N,Чежн_ФўВЈ
13,11.0,255.675,large,IC19-CAJ-160 N,Чежн_ФўВЈ
14,12.0,-1595.2125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
