,before_days,average_count,num,SVVD,FLOW
0,0,3091.59375,large,IC19-CAJ-160 N,Чежн_ФўВЈ
1,1,1615.4249999999997,large,IC19-CAJ-160 N,Чежн_ФўВЈ
2,2,-1142.1375000000005,large,IC19-CAJ-160 N,Чежн_ФўВЈ
3,3,-11805.281250000004,large,IC19-CAJ-160 N,Чежн_ФўВЈ
4,4,1517.3812500000004,large,IC19-CAJ-160 N,Чежн_ФўВЈ
5,5,957.3375000000001,large,IC19-CAJ-160 N,Чежн_ФўВЈ
6,6,2713.3312499999997,large,IC19-CAJ-160 N,Чежн_ФўВЈ
7,7,-3414.468749999999,large,IC19-CAJ-160 N,Чежн_ФўВЈ
8,8,629.34375,large,IC19-CAJ-160 N,Чежн_ФўВЈ
9,9,3309.206249999999,large,IC19-CAJ-160 N,Чежн_ФўВЈ
10,10,63.91875,large,IC19-CAJ-160 N,Чежн_ФўВЈ
11,11,255.675,large,IC19-CAJ-160 N,Чежн_ФўВЈ
12,12,-1595.2125,large,IC19-CAJ-160 N,Чежн_ФўВЈ
