DIRECTION,REVENUE,SALES_VOLUME,FREIGHT_RATE,NUM_40,NUM_20,percent_40,Nomal_Rate,score
新港_南沙,10633245,143140,2169.607223015809,2256,2645,0.4603142215874311,0.34,0.6875681793337033
营口_南沙,14395396,132320,3164.5189263573584,2067,2482,0.4543855792481864,0.25,0.6783567278681394
营口_宁波,11363140,132220,1937.4493299232047,746,5119,0.12719522591645355,0.76,0.6655323664534987
钦州_宁波,1247244,151440,250.50102430206695,2593,2386,0.5207873066880899,0.34,0.6448196108200345
营口_福清,8520607,104760,1764.8317357083392,410,4418,0.08492129246064622,0.3,0.5110811390941135
营口_钦州,7076760,72120,2263.114998401053,479,2648,0.15318196354333227,0.78,0.4651772439784343
上海_烟台,1663308,92340,622.2626745230016,1944,729,0.7272727272727273,0.24,0.4464741009442424
日照_铁山,4289936,102320,838.5333659108804,0,5116,0.0,0.0,0.43123337616168045
上海_武汉,3469972,73480,1871.6140809060973,1820,34,0.9816612729234088,0.0,0.4157507942214216
乐从_营口,2118002,51760,1615.5623569794282,1277,34,0.9740655987795576,0.83,0.41130882280065234
营口_泸州,3376494,12140,5562.59382207579,0,607,0.0,1.0,0.3939693737741
秦皇岛_重庆,76741,400,6976.4863636363625,9,2,0.8181818181818182,0.45,0.39130735912152836
大连_黄石,5336,40,5336.1,1,0,1.0,1.0,0.3900659772467635
新港_鱼珠,3735097,65540,1992.0521600000013,1402,473,0.7477333333333334,0.07,0.38763120743449225
营口_深圳（大铲湾）,5466142,54580,2373.4878419452803,426,1877,0.1849761181068172,0.49,0.37845707593090744
营口_上海,3645539,61820,1597.519366564434,809,1473,0.35451358457493426,0.39,0.372063111914104
营口_汕头,5385644,53240,2637.4359696376,620,1422,0.3036238981390793,0.29,0.36949231689097806
宜宾_马尾,28665,240,4777.5,6,0,1.0,1.0,0.36878608602730245
营口_海口,4892710,48860,2171.642343541944,190,2063,0.08433200177541056,0.71,0.3673432759458125
营口_新沙,3870882,44820,3119.1641821112084,1000,241,0.8058017727639001,0.1,0.3632578491328508
常德_北海,1001857,10740,3696.891143911439,266,5,0.981549815498155,1.0,0.36314996456305104
钦州_日照,1901114,50820,1246.6322950819615,1016,509,0.6662295081967213,0.66,0.36117701551373177
新港_深圳（大铲湾）,3995100,53180,2160.681936181668,810,1039,0.43807463493780413,0.33,0.36109371260555223
宜宾_福清,58012,520,4462.5,13,0,1.0,1.0,0.35738845037991185
董家口_阳江,4475,40,4475.1,1,0,1.0,1.0,0.3561557841508082
万州_湛江,212625,2000,4252.5,50,0,1.0,1.0,0.35444848652781
寿光_海口,8841,80,4420.5,2,0,1.0,1.0,0.35414945774157447
石岛_钦州,34807,200,6961.5,5,0,1.0,0.0,0.35315810950799653
重庆_新会新港,17430,160,4357.5,4,0,1.0,1.0,0.3519563762599631
新港_汕头,2793662,41580,2252.953669354836,839,401,0.6766129032258065,0.5,0.35179370023692363
连云港_阳江,8712,80,4356.45,2,0,1.0,1.0,0.3516268702063875
涪陵_南沙,4357,40,4357.5,1,0,1.0,1.0,0.3515241480206289
大连_海口,63867,600,4257.819999999999,15,0,1.0,1.0,0.3496153501319417
寿光_湛江,8555,80,4277.7,2,0,1.0,1.0,0.3485253281549282
石岛_深圳（大铲湾）,4265,40,4265.1,1,0,1.0,1.0,0.3478850053469167
烟台_惠州,4264,40,4264.05,1,0,1.0,1.0,0.3478436514528972
新港_重庆,325332,1520,6639.428571428571,27,22,0.5510204081632653,0.24,0.3477675379547054
石岛_珠海（高栏）,77950,720,4330.608333333334,18,0,1.0,0.94,0.3468243222022471
合肥_海口,528180,5320,3827.394565217385,128,10,0.927536231884058,1.0,0.34614242859315214
锦州_宜宾,736933,2840,5189.669366197192,0,142,0.0,1.0,0.3457841819631512
大连_小塘西,4179,40,4179.0,1,0,1.0,1.0,0.3444939860373211
江阴_宁德,4163,40,4163.25,1,0,1.0,1.0,0.3438736776270292
重庆_深圳（大铲湾）,12442,120,4147.5,3,0,1.0,1.0,0.3435415213762935
新港_黄埔旧港,1864735,25000,2895.5527173912897,606,38,0.9409937888198758,0.63,0.3434266218559193
涪陵_虎门,8295,80,4147.5,2,0,1.0,1.0,0.3433974452965154
日照_深圳（大铲湾）,3011748,40540,2616.636490008697,876,275,0.7610773240660296,0.26,0.3421162176079252
龙口_梧州（李家庄）,36737,360,4081.933333333333,9,0,1.0,1.0,0.34182365691730265
丹东_泸州,10689,40,5344.5,0,2,0.0,1.0,0.3417968083989191
营口_泉州,3731483,45700,1975.3748385388992,396,1493,0.20963472736897829,0.58,0.3411260489630383
惠州_长沙,5318,20,5318.25,0,1,0.0,1.0,0.3406909230085437
寿光_鱼珠,8148,80,4074.0,2,0,1.0,1.0,0.3405026727151534
肇庆（三榕）_荆州,8141,80,4070.85,2,0,1.0,1.0,0.340378611033095
乐平_荆州,12177,120,4059.300000000001,3,0,1.0,1.0,0.3400677942786591
广利港_白坭,12028,120,4009.6,3,0,1.0,1.0,0.3381103766284047
威海_珠海（高栏）,321566,3300,3783.1376470588234,80,5,0.9411764705882352,1.0,0.3377864584480887
大连_肇庆（新港）,15950,160,3987.6375,4,0,1.0,1.0,0.3373894670916092
广利港_鸦岗,23814,240,3969.0,6,0,1.0,1.0,0.33694358763232
营口_德庆,7950,80,3975.3,2,0,1.0,1.0,0.33661540667732437
潍坊_庙沙围,7942,80,3971.1,2,0,1.0,1.0,0.3364499911012465
寿光_深圳（大铲湾）,7938,80,3969.0,2,0,1.0,1.0,0.33636728331320764
广利港_虎门,7931,80,3965.85,2,0,1.0,1.0,0.3362432216311493
龙口_鹏成,7923,80,3961.65,2,0,1.0,1.0,0.3360778060550714
寿光_新会新港,11859,120,3953.25,3,0,1.0,1.0,0.3358910509826939
广利港_新会新港,7906,80,3953.25,2,0,1.0,1.0,0.3357469749029158
寿光_石龙,3943,40,3943.8,1,0,1.0,1.0,0.33523071377696256
宜宾_泉州,422100,4120,3768.75,94,18,0.8392857142857143,1.0,0.33522147472565633
荆州_马尾,128835,1180,4026.09375,27,5,0.84375,1.0,0.33498424349441336
莱州_虎门,3925,40,3925.95,1,0,1.0,1.0,0.3345276975786317
广利港_南沙,151305,1600,3782.625,40,0,1.0,1.0,0.3345018581563217
龙口_三埠,11661,120,3887.1,3,0,1.0,1.0,0.33328575565946805
扬州_贵港,7644,80,3822.0,2,0,1.0,1.0,0.3305777381504835
龙口_珠海洪湾,3805,40,3805.2,1,0,1.0,1.0,0.3297719997663941
连云港_高明,93798,980,3751.9440000000013,24,1,0.96,1.0,0.32911631813651265
营口_漳州,3501564,43180,2004.3297939324593,412,1335,0.2358328563251288,0.52,0.3283728661058901
烟台_双水小冈,3746,40,3746.4,1,0,1.0,1.0,0.3274561817013045
青岛_新沙,18611,200,3722.25,5,0,1.0,1.0,0.3270813464579694
鸦岗_营口,1121603,25160,1736.2286377708992,612,34,0.9473684210526316,0.91,0.3270731474702798
营口_马尾,4517130,49080,1889.2222710163169,63,2328,0.026348808030112924,0.44,0.3267896923607684
荆州_小榄,11025,120,3675.0,3,0,1.0,1.0,0.3249322690675376
马鞍山_马尾,21936,240,3656.1,6,0,1.0,1.0,0.3246201272145216
镇江_钦州,7309,80,3654.525,2,0,1.0,1.0,0.32398179205438
江阴_铁山,10929,120,3643.15,3,0,1.0,1.0,0.323677867615614
石岛_湛江,30628,280,4375.499999999999,7,0,1.0,0.71,0.3236625283967738
北海_蚌埠,7281,80,3640.875,2,0,1.0,1.0,0.3234441914321271
秦皇岛_北海,45502,480,3791.9,12,0,1.0,0.92,0.3227130206530401
黄骅_海安,3624,40,3624.6,1,0,1.0,1.0,0.3226591299950474
青岛_东莞海腾,3623,40,3623.55,1,0,1.0,1.0,0.32261777610102793
日照_鹤山,18007,200,3601.5,5,0,1.0,1.0,0.32232564864573177
威海_钦州,54045,340,6005.0666666666675,8,1,0.8888888888888888,0.11,0.3217585732126071
南沙_营口,1648065,36240,1563.6293168880436,758,296,0.7191650853889943,0.63,0.3206737737187799
丹东_新会新港,46943,500,3611.0307692307692,12,1,0.9230769230769232,1.0,0.3200431238205518
合肥_小铲滩,146768,1640,3579.731707317073,41,0,1.0,0.93,0.3195500506905107
青岛_三埠,3544,40,3544.8,1,0,1.0,1.0,0.31951623404956864
上海_营口,891373,58000,604.3208155932119,1425,50,0.9661016949152542,0.1,0.3194752402510321
新港_镇江,3536,40,3536.4,1,0,1.0,1.0,0.31918540289741293
九江（江西）_中山,161280,1920,3360.0,48,0,1.0,1.0,0.3190095244517147
汕头_营口,791291,49400,622.0845518867826,1198,74,0.9418238993710693,0.4,0.3184686009667921
烟台_南沙,3094226,29940,3389.076363088705,584,329,0.6396495071193866,0.16,0.31830694708479224
扬州_惠州,7014,80,3507.0,2,0,1.0,1.0,0.31817156994464624
秦皇岛_神湾,6997,80,3498.6,2,0,1.0,1.0,0.31784073879249053
云浮_万州,9460,40,4730.25,0,2,0.0,1.0,0.31760478039753637
青岛_乐平,6946,80,3473.4,2,0,1.0,1.0,0.31684824533602357
营口_乐从,3222325,28940,3768.8017929824896,592,263,0.6923976608187135,0.0,0.3159839626785276
